TIMESTAMP_START,TART,TA_F,VPD_F,PA_F,WS_F,NETRAD,TS_F_MDS_1
2.00301E+11,0800,7.694,0.483,98.7,2.076,9.23,11.34
2.00301E+11,0830,7.707,0.494,98.7,2.248,13.86,11.33
2.00301E+11,0900,7.752,0.623,98.8,2.751,22.13,11.31
2.00301E+11,0930,7.636,0.544,98.8,1.757,18.62,11.3
2.00301E+11,1000,7.445,0.465,98.8,1.968,25.99,11.28
2.00301E+11,1030,7.457,0.445,98.7,1.87,26.31,11.27
2.00301E+11,1100,7.443,0.413,98.7,2.173,36.85,11.26
2.00301E+11,1130,7.348,0.369,98.7,2.14,34.87,11.25
2.00301E+11,1200,7.244,0.346,98.6,2.264,44.4,11.25
2.00301E+11,1230,7.231,0.326,98.6,2.053,59.37,11.24
2.00301E+11,1300,7.202,0.305,98.6,1.954,50.82,11.23
2.00301E+11,1330,7.225,0.295,98.5,1.683,46.6,11.23
2.00301E+11,1400,7.215,0.285,98.5,1.618,36.22,11.22
2.00301E+11,1430,7.316,0.287,98.5,1.471,43.67,11.21
2.00301E+11,1500,7.394,0.278,98.5,1.421,33.13,11.21
2.00301E+11,1530,7.4,0.268,98.5,1.693,35.06,11.2
2.00301E+11,1600,7.424,0.268,98.5,1.422,24.77,11.2
2.00301E+11,1630,7.402,0.268,98.5,1.518,14.67,11.2
2.00301E+11,1700,7.454,0.258,98.5,1.814,6.685,11.2
2.00301E+11,1730,7.515,0.26,98.5,1.657,0.035,11.19
2.00301E+11,1800,7.549,0.26,98.6,1.54,-1.538,11.19
2.00301E+11,0800,9.82,2.209,98.7,1.54,21.49,11.25
2.00301E+11,0830,9.48,1.744,98.7,1.223,19.81,11.26
2.00301E+11,0900,9.53,1.678,98.8,0.983,44.73,11.28
2.00301E+11,0930,9.85,1.921,98.7,1.319,54.61,11.3
2.00301E+11,1000,9.98,1.828,98.7,1.294,84.3,11.31
2.00301E+11,1030,10.2,2.042,98.7,1.546,86.7,11.34
2.00301E+11,1100,10.76,2.365,98.7,1.442,96.7,11.36
2.00301E+11,1130,11.1,2.379,98.7,1.238,107.7,11.4
2.00301E+11,1200,11.36,2.286,98.6,0.733,124.9,11.44
2.00301E+11,1230,11.39,2.345,98.5,0.785,102.4,11.48
2.00301E+11,1300,11.37,2.624,98.5,0.96,75,11.53
2.00301E+11,1330,11.51,2.73,98.5,1.521,79.75,11.58
2.00301E+11,1400,11.61,2.16,98.5,1.328,92.5,11.63
2.00301E+11,1430,11.09,1.572,98.5,0.926,68.97,11.67
2.00301E+11,1500,10.77,1.332,98.4,0.912,56.81,11.71
2.00301E+11,1530,10.7,1.249,98.4,1.026,48.4,11.75
2.00301E+11,1600,10.58,1.188,98.5,1.191,33.61,11.78
2.00301E+11,1630,10.51,1.182,98.5,1.101,14.23,11.81
2.00301E+11,1700,10.53,1.26,98.6,1.072,7.043,11.84
2.00301E+11,1730,10.86,1.431,98.6,1.916,-2.974,11.85
2.00301E+11,1800,10.86,1.314,98.6,3.113,-5.668,11.87
2.00301E+11,0800,6.068,1.128,99,3.33,1.813,11.17
2.00301E+11,0830,6.232,0.741,99,3.176,112,11.12
2.00301E+11,0900,6.837,1.377,99.1,3.253,223.7,11.08
2.00301E+11,0930,7.218,2.131,99,3.975,297.5,11.05
2.00301E+11,1000,7.944,2.607,99,3.828,373.1,11.03
2.00301E+11,1030,8.48,3.233,99,4.049,444.5,11.02
2.00301E+11,1100,8.93,3.52,98.9,3.734,498.3,11.03
2.00301E+11,1130,9.7,4.053,98.9,2.797,537.2,11.06
2.00301E+11,1200,10,4.045,98.8,2.317,563.4,11.09
2.00301E+11,1230,11.1,4.825,98.7,2.025,569.5,11.15
2.00301E+11,1300,11.65,5.496,98.7,2.369,558.7,11.21
2.00301E+11,1330,12.35,6.465,98.7,2.244,530.8,11.29
2.00301E+11,1400,12.19,6.73,98.6,2.55,488.1,11.4
2.00301E+11,1430,12.4,7.094,98.6,2.484,429.5,11.52
2.00301E+11,1500,13.02,7.624,98.6,2.016,354,11.63
2.00301E+11,1530,13.37,7.986,98.6,2.158,270.9,11.71
2.00301E+11,1600,13.47,7.899,98.6,3.503,174.3,11.78
2.00301E+11,1630,13.29,7.781,98.6,2.576,74.1,11.82
2.00301E+11,1700,12.74,7.278,98.6,3.24,-22.63,11.84
2.00301E+11,1730,12.23,6.826,98.6,4.024,-100.3,11.85
2.00301E+11,1800,11.85,6.371,98.6,4.324,-121.5,11.85
2.00301E+11,0800,5.318,1.659,98.9,1.806,4.366,10.37
2.00301E+11,0830,5.823,1.982,98.9,1.688,94.2,10.33
2.00301E+11,0900,6.431,2.335,99,1.556,201.7,10.3
2.00301E+11,0930,7.085,2.993,99,1.69,331.6,10.28
2.00301E+11,1000,7.759,3.983,99,2.724,563.1,10.28
2.00301E+11,1030,8.05,4.04,98.9,2.335,250.1,10.32
2.00301E+11,1100,8.47,3.614,98.9,1.256,220.7,10.38
2.00301E+11,1130,8.59,3.363,98.8,1.397,227.9,10.43
2.00301E+11,1200,9.4,3.728,98.8,1.219,322.8,10.49
2.00301E+11,1230,10.02,4.267,98.7,1.512,377.2,10.55
