TIMESTAMP_START,TART,TA_F,VPD_F,PA_F,WS_F,NETRAD,TS_F_MDS_1
2.00301E+11,0800,-18.05,0.543,67.469,1.415,-57.19,-10.86
2.00301E+11,0830,-12.04,1.313,67.47,1.076,-2.873,-10.9
2.00301E+11,0900,-9.1,1.955,67.471,0.878,60.35,-10.87
2.00301E+11,0930,-9.44,1.833,67.472,0.991,99.6,-10.74
2.00301E+11,1000,-9.91,1.767,67.473,0.685,83,-10.49
2.00301E+11,1030,-7.279,2.609,67.474,0.973,164.4,-10.21
2.00301E+11,1100,-6.543,3.038,67.475,0.873,150.9,-9.83
2.00301E+11,1130,-6.339,3.187,67.449,1.109,131.5,-9.38
2.00301E+11,1200,-6.11,3.256,67.424,0.843,142.6,-8.96
2.00301E+11,1230,-5.891,3.431,67.399,1.656,129,-8.59
2.00301E+11,1300,-5.654,3.511,67.373,1.294,144.1,-8.24
2.00301E+11,1330,-4.994,3.716,67.348,1.762,176.3,-7.914
2.00301E+11,1400,-4.148,3.985,67.323,2.807,204.5,-7.581
2.00301E+11,1430,-4.732,3.813,67.33,4.085,117.6,-7.248
2.00301E+11,1500,-5.397,3.596,67.337,3.687,45.44,-7.003
2.00301E+11,1530,-6.215,3.332,67.345,3.125,-7.005,-6.873
2.00301E+11,1600,-6.985,3.074,67.352,2.513,-42.17,-6.832
2.00301E+11,1630,-8.58,2.646,67.359,1.813,-82.5,-6.861
2.00301E+11,1700,-10.85,2.141,67.366,1.185,-94.8,-6.978
2.00301E+11,1730,-15.91,1.298,67.4,1.742,-93.1,-7.186
2.00301E+11,1800,-17.31,1.067,67.434,1.772,-94.1,-7.462
2.00301E+11,0800,-13.44,1.622,67.772,2.103,-40.75,-12.07
2.00301E+11,0830,-10.97,2.153,67.788,2.408,28.25,-12.05
2.00301E+11,0900,-9.93,2.402,67.805,2.599,99.9,-11.95
2.00301E+11,0930,-9.15,2.587,67.821,2.653,164,-11.76
2.00301E+11,1000,-8.2,2.818,67.837,2.421,215.7,-11.46
2.00301E+11,1030,-7.465,3.022,67.854,1.955,252.6,-11.07
2.00301E+11,1100,-6.422,3.307,67.87,2.443,272.7,-10.64
2.00301E+11,1130,-5.575,3.577,67.853,5.113,304.7,-10.12
2.00301E+11,1200,-5.084,3.715,67.835,3.726,298.1,-9.58
2.00301E+11,1230,-4.408,3.914,67.817,4.436,302.5,-9.06
2.00301E+11,1300,-3.833,4.145,67.799,5.42,277.5,-8.55
2.00301E+11,1330,-4.032,4.119,67.782,6.759,246.6,-8.11
2.00301E+11,1400,-4.253,4.061,67.764,6.066,145.2,-7.75
