TIMESTAMP_START,TART,TA_F,VPD_F,PA_F,WS_F,NETRAD,TS_F_MDS_1
2.00301E+11,0000,9.99,2.779,98.5,1.293,-5.866,11.34
2.00301E+11,0030,9.81,2.587,98.5,0.835,-6.596,11.35
2.00301E+11,0100,9.67,2.355,98.5,1.147,-6.945,11.35
2.00301E+11,0130,9.6,2.212,98.5,1.247,-7.693,11.36
2.00301E+11,0200,9.63,2.468,98.5,1.474,-7.399,11.37
2.00301E+11,0230,9.52,2.38,98.5,1.627,-4.96,11.37
2.00301E+11,0300,9.39,2.287,98.4,2.218,-3.989,11.38
2.00301E+11,0330,9.44,2.442,98.4,2.369,-3.693,11.38
2.00301E+11,0400,9.24,2.078,98.5,1.785,-4.068,11.38
2.00301E+11,0430,8.95,1.202,98.5,1.825,-4.563,11.37
2.00301E+11,0500,8.84,1.068,98.5,1.565,-5.658,11.37
2.00301E+11,0530,8.91,1.667,98.5,2.412,-5.839,11.37
2.00301E+11,0600,9.05,2.348,98.5,2.678,-6.122,11.37
2.00301E+11,0630,8.52,1.79,98.6,2.938,-4.87,11.37
2.00301E+11,0700,7.955,0.995,98.6,2.043,-2.872,11.37
2.00301E+11,0730,7.825,0.604,98.7,2.21,0.871,11.36
2.00301E+11,1830,7.661,0.262,98.6,1.558,-2.141,11.18
2.00301E+11,1900,7.815,0.286,98.6,1.926,-1.876,11.18
2.00301E+11,1930,8.02,0.537,98.6,1.931,-1.7,11.18
2.00301E+11,2000,8.18,0.858,98.6,2.072,-1.739,11.18
2.00301E+11,2030,8.14,0.834,98.6,1.331,-1.514,11.17
2.00301E+11,2100,8.22,0.893,98.6,1.636,-1.719,11.17
2.00301E+11,2130,8.72,1.499,98.7,2.206,-1.946,11.17
2.00301E+11,2200,8.62,1.287,98.7,1.375,-2.853,11.17
2.00301E+11,2230,8.59,1.318,98.7,1.109,-2.655,11.17
2.00301E+11,2300,8.77,1.572,98.7,0.932,-3.059,11.17
2.00301E+11,2330,8.87,1.594,98.7,1.074,-2.403,11.17
2.00301E+11,0000,8.99,1.802,98.7,1.472,-1.615,11.18
2.00301E+11,0030,9.08,1.94,98.7,1.942,-1.302,11.18
2.00301E+11,0100,9.04,1.912,98.7,1.887,-1.98,11.18
2.00301E+11,0130,8.93,1.726,98.6,1.467,-2.777,11.19
2.00301E+11,0200,8.87,1.662,98.6,1.811,-3.517,11.19
2.00301E+11,0230,8.7,1.452,98.6,1.507,-3.459,11.2
2.00301E+11,0300,8.95,1.694,98.6,1.578,-3.605,11.2
2.00301E+11,0330,8.69,1.428,98.5,1.025,-2.747,11.2
2.00301E+11,0400,8.23,0.861,98.5,1.282,-2.251,11.21
2.00301E+11,0430,8.39,1.047,98.5,1.251,-1.579,11.21
2.00301E+11,0500,9.18,1.941,98.5,2.509,-2.592,11.21
2.00301E+11,0530,9.61,2.226,98.6,1.758,-4.024,11.21
2.00301E+11,0600,9.85,2.225,98.6,1.503,-4.648,11.21
2.00301E+11,0630,9.75,2.138,98.6,0.982,-3.849,11.21
2.00301E+11,0700,9.86,2.056,98.6,0.947,-3.144,11.22
2.00301E+11,0730,9.6,1.865,98.7,1.219,1.67,11.24
2.00301E+11,1830,10.71,1.185,98.6,2.874,-5.799,11.88
2.00301E+11,1900,10.39,0.87,98.7,2.537,-3.275,11.89
2.00301E+11,1930,10.16,0.608,98.7,1.356,-1.699,11.89
2.00301E+11,2000,9.95,0.477,98.8,2.819,-2.965,11.9
2.00301E+11,2030,9.92,0.489,98.8,3.058,-3.592,11.9
2.00301E+11,2100,9.79,0.497,98.9,2.797,-2.094,11.91
2.00301E+11,2130,9.5,0.736,98.9,4.046,-3.997,11.91
2.00301E+11,2200,8.99,0.884,98.9,3.112,-3.145,11.9
2.00301E+11,2230,8.49,0.577,98.9,2.953,-1.621,11.89
2.00301E+11,2300,8.26,0.492,98.9,3.149,-1.649,11.86
2.00301E+11,2330,8.22,0.577,98.95,3.493,-1.5895,11.84
2.00301E+11,0000,8.17,0.662,99,4.239,-1.53,11.82
2.00301E+11,0030,7.783,0.603,99,4.775,-1.967,11.77
2.00301E+11,0100,7.497,0.518,98.9,3.899,-2.211,11.73
2.00301E+11,0130,7.269,0.5,98.9,3.544,-1.841,11.68
2.00301E+11,0200,7.305,0.481,99,2.694,-1.783,11.64
2.00301E+11,0230,7.149,0.618,98.9,4.577,-2.246,11.6
2.00301E+11,0300,6.928,0.648,98.9,4.24,-3.068,11.57
2.00301E+11,0330,6.798,0.603,98.9,3.856,-3.204,11.53
2.00301E+11,0400,6.628,0.537,99,3.683,-3.439,11.49
2.00301E+11,0430,6.655,0.822,99,4.605,-3.162,11.45
2.00301E+11,0500,6.505,0.93,99,4.41,-3.178,11.41
2.00301E+11,0530,6.331,0.833,98.9,3.78,-3.124,11.37
2.00301E+11,0600,6.279,0.811,99,3.472,-3.751,11.33
2.00301E+11,0630,6.159,0.681,98.9,2.367,-4.015,11.28
2.00301E+11,0700,6.11,0.792,99,3.233,-12.48,11.24
2.00301E+11,0730,6.111,1.018,99,3.094,-9.87,11.2
2.00301E+11,1830,11.48,5.997,98.6,3.375,-120.7,11.83
2.00301E+11,1900,11.12,5.772,98.7,3.389,-121.5,11.79
2.00301E+11,1930,10.98,5.858,98.7,3.326,-119.7,11.75
2.00301E+11,2000,10.52,5.381,98.7,2.57,-117.3,11.71
2.00301E+11,2030,10.09,4.759,98.7,2.51,-117.4,11.67
2.00301E+11,2100,9.62,4.171,98.7,2.656,-118.6,11.62
2.00301E+11,2130,9.12,3.744,98.8,2.517,-117.3,11.58
2.00301E+11,2200,8.6,3.163,98.8,2.431,-116.4,11.53
2.00301E+11,2230,8.15,3.147,98.8,2.376,-115.4,11.47
2.00301E+11,2300,7.732,3.1,98.8,2.538,-113.2,11.42
2.00301E+11,2330,7.404,2.996,98.8,2.41,-110.9,11.37
2.00301E+11,0000,7.002,2.796,98.8,2.534,-109.9,11.31
2.00301E+11,0030,6.86,3.23,98.8,2.595,-109.9,11.25
2.00301E+11,0100,6.771,3.403,98.8,2.37,-110.6,11.18
2.00301E+11,0130,6.774,3.679,98.7,2.467,-108.5,11.12
2.00301E+11,0200,6.198,2.77,98.7,2.251,-107.1,11.05
2.00301E+11,0230,5.817,2.332,98.7,1.913,-105.6,10.98
2.00301E+11,0300,5.926,2.488,98.7,2.024,-102.3,10.92
2.00301E+11,0330,5.815,2.502,98.7,2.003,-100,10.85
2.00301E+11,0400,5.582,2.223,98.7,1.901,-99.7,10.79
2.00301E+11,0430,5.452,2.054,98.7,1.733,-98.9,10.73
