TIMESTAMP_START,TART,TA_F,VPD_F,PA_F,WS_F,NETRAD,TS_F_MDS_1
2.00E+11,0,-18.89,0.56,67.552,1.847,-81.7,-9.04
2.00E+11,30,-20.57,0.438,67.533,1.68,-77.38,-9.18
2.00E+11,100,-20.11,0.467,67.515,1.317,-76.51,-9.33
2.00E+11,130,-20.18,0.443,67.496,1.153,-63.25,-9.47
2.00E+11,200,-19.39,0.513,67.478,1.442,-79.86,-9.6
2.00E+11,230,-20.11,0.439,67.475,1.565,-70.18,-9.71
2.00E+11,300,-18.65,0.503,67.473,1.699,-65.04,-9.83
2.00E+11,330,-18.82,0.524,67.47,1.594,-76.52,-9.9
2.00E+11,400,-20.88,0.368,67.468,1.458,-65.89,-9.98
2.00E+11,430,-21.69,0.331,67.465,1.585,-76.03,-10.08
2.00E+11,500,-22.49,0.303,67.463,1.597,-75.05,-10.19
2.00E+11,530,-21.77,0.335,67.464,1.684,-79.37,-10.32
2.00E+11,600,-22.35,0.291,67.465,1.628,-77.16,-10.44
2.00E+11,630,-20.53,0.396,67.466,1.9,-92.9,-10.55
2.00E+11,700,-20.93,0.38,67.467,2.088,-91.5,-10.66
2.00E+11,730,-20.25,0.409,67.468,1.794,-82.1,-10.77
2.00E+11,1830,-15.15,1.408,67.467,1.117,-91.7,-7.742
2.00E+11,1900,-16.88,1.144,67.501,1.658,-91.3,-8.01
2.00E+11,1930,-17.02,1.114,67.534,1.56,-87.6,-8.26
2.00E+11,2000,-15.23,1.368,67.568,1.317,-88.5,-8.48
2.00E+11,2030,-15.03,1.426,67.57,1.334,-95.4,-8.67
2.00E+11,2100,-13.15,1.76,67.571,2.49,-112.4,-8.86
2.00E+11,2130,-13.5,1.74,67.573,1.693,-108.3,-9.01
2.00E+11,2200,-15.67,1.403,67.574,1.399,-103.3,-9.14
2.00E+11,2230,-15.41,1.461,67.576,1.178,-101.7,-9.3
2.00E+11,2300,-16,1.358,67.578,1.447,-107.4,-9.48
2.00E+11,2330,-17.33,1.18,67.582,1.683,-106.2,-9.65
2.00E+11,0,-17.77,1.12,67.587,1.975,-108.3,-9.81
2.00E+11,30,-18.73,0.995,67.591,1.783,-104.3,-9.97
2.00E+11,100,-19.4,0.931,67.596,1.718,-102.3,-10.12
2.00E+11,130,-17.69,1.1,67.601,1.784,-109.4,-10.27
2.00E+11,200,-19.46,0.907,67.605,1.594,-101.2,-10.41
2.00E+11,230,-20.96,0.729,67.619,1.801,-100.1,-10.55
2.00E+11,300,-20.35,0.767,67.633,1.744,-102.4,-10.7
2.00E+11,330,-22.27,0.613,67.647,1.522,-95.7,-10.84
2.00E+11,400,-23.33,0.551,67.66,1.637,-93.5,-10.99
2.00E+11,430,-25.58,0.381,67.674,1.707,-92.1,-11.14
2.00E+11,500,-23.58,0.509,67.688,1.574,-94.3,-11.31
2.00E+11,530,-23.88,0.471,67.702,1.575,-94.1,-11.46
2.00E+11,600,-24.62,0.431,67.716,1.556,-91.4,-11.61
2.00E+11,630,-23.48,0.498,67.73,1.587,-93.6,-11.75
2.00E+11,700,-23.33,0.479,67.744,1.757,-95.6,-11.87
2.00E+11,730,-21.11,0.631,67.758,1.67,-83.8,-11.99
2.00E+11,1830,-15.6,1.341,67.867,2.667,-114.6,-7.913
2.00E+11,1900,-15.67,1.336,67.887,2.84,-115.8,-8.15
