TIMESTAMP,TA_F,VPD_F,PA_F,WS_F,NETRAD,TS_F_MDS_1,G_calculated
200301,12.574,5.47,98.382,1.741,49.49798099,12.66,0.00336
200302,14.938,2.656,98.102,1.793,47.75664213,15.188,0.33096
200303,15.909,2.648,97.966,1.938,52.40903091,16.326,0.13594
200304,21.277,4.328,97.55,1.834,79.54153819,20.255,0.75152
200305,24.608,6.45,97.223,2.224,105.4230464,23.097,0.46634
200306,25.111,5.806,96.972,2.437,99.62624931,24.058,0.07042
200307,27.525,10.188,97.181,2.636,162.4661794,25.572,0.33796
200308,26.59,7.15,96.961,1.886,125.4011099,25.895,-0.1309
200309,25.238,7.624,97.33,1.975,111.5937208,24.826,-0.18928
200310,22.159,10.205,97.898,1.958,95.55973586,22.102,-0.43106
200311,18.433,6.914,98.078,2.068,64.41112361,19.447,-0.52164
200312,13.673,7.983,98.475,1.864,48.27872849,14.759,-0.6664
200401,11.294,4.011,98.293,1.857,41.74965121,13.507,-0.33306
200402,14.56,5.04,98.1,1.832,55.24125287,14.19,0.45724
200403,15.197,3.806,97.859,1.734,47.62263407,16.106,0.08918
200404,21.232,5.401,97.561,2.139,88.41156944,19.692,0.8449
200405,23.152,6.392,97.263,2.193,120.7839819,22.469,0.2688
200406,26.195,8.76,97.121,1.915,134.8110736,24.559,0.42602
200407,25.948,7.533,96.889,2.053,100.3891901,24.36,-0.03458
200408,26.776,8.915,96.776,1.808,118.7578751,26.475,0.11592
200409,25.509,10.391,97.444,1.786,134.140701,25.294,-0.17738
200410,22.134,13.417,98.006,1.985,93.26641398,23.163,-0.4725
200411,19.143,8.39,98.21,1.99,76.56267267,21.785,-0.41874
200412,14.745,8.06,98.244,1.946,43.79694215,16.027,-0.61572
200501,10.769,3.782,98.187,1.601,42.83797177,12.745,-0.55664
200502,11.548,1.764,98.029,1.685,34.65437351,13.397,0.10906
200503,14.515,3.538,98.108,2.059,50.10089147,14.522,0.41538
200504,20.164,4.413,97.701,1.671,63.43848889,18.979,0.79086
200505,24.698,5.285,97.109,1.372,112.164656,23.42,0.63476
200506,25.168,4.546,96.822,1.903,87.22740278,24.519,0.0658
200507,26.958,9.522,97.048,2.138,132.7414711,25.498,0.2506
200508,26.139,7.013,96.908,1.915,114.9660302,25.355,-0.11466
200509,25.781,8.388,97.386,2.068,114.3084736,24.841,-0.05012
200510,22.914,10.203,97.901,2.107,111.7073414,22.64,-0.40138
200511,19.462,7.236,97.999,2.041,75.11643611,19.953,-0.48328
200512,12.55,6.825,98.407,2.334,54.30569934,14.507,-0.96768
