TIMESTAMP,TA_F,VPD_F,PA_F,WS_F,NETRAD,TS_F_MDS_1,G_calculated
200301,-13.699,1.749,67.621,1.971,8.535144527,-9.021,0
200302,-9.9,2.036,67.303,1.908,44.01440898,-5.771,-0.04676
200303,-5.731,2.366,67.417,1.801,88.63717394,-2.249,0.53186
200304,0.119,3.271,67.671,2.076,120.6147833,1.857,0.58366
200305,3.149,3.206,67.819,1.865,137.2742976,4.822,0.819
200306,6.858,3.837,67.943,1.914,168.4560359,9.788,0.4242
200307,8.205,2.845,67.948,1.45,135.5153437,10.878,0.51926
200308,8.998,2.657,68.114,1.442,138.518506,12.456,0.18858
200309,5.163,2.717,68.237,1.518,117.6369583,8.698,0.11102
200310,-0.185,2.419,68.276,1.606,65.94488651,3.424,-0.5369
200311,-6.696,1.836,67.798,1.659,23.33950953,-1.37,-0.74872
200312,-12.739,1.324,67.772,1.539,11.77294845,-6.124,-0.91154
200401,-14.815,1.098,67.317,1.622,24.95920027,-7.951,-0.84602
200402,-12.564,1.562,67.46,1.796,47.86164823,-6.959,-0.29064
200403,-5.092,2.202,67.599,2.072,83.28921144,-2.134,0.31514
200404,0.802,4.05,67.885,2.012,130.2757153,1.795,1.04608
200405,2.748,3.41,67.95,2.094,139.6579117,4.918,0.82516
200406,6.828,4.139,67.968,1.889,146.7351123,9.27,0.27244
200407,8.803,3.908,67.982,1.703,153.1221004,11.796,0.5712
200408,8.751,2.597,68.047,1.442,131.399638,12.195,0.2765
200409,3.998,2.027,68.295,1.453,98.1898447,7.484,-0.00728
200410,-1.603,1.991,68.307,1.541,67.10983581,2.646,-0.66542
200411,-9.125,1.826,68.023,1.674,26.61991891,-2.386,-0.78414
200412,-11.995,1.443,67.635,1.603,6.617658539,-4.866,-1.05308
200501,-12.629,1.416,67.245,1.677,12.72276868,-6.928,-0.4018
200502,-10.46,1.775,67.132,1.9,42.80026747,-5.616,-0.08876
200503,-5.49,1.555,67.657,1.832,85.99237022,-1.929,0.30366
200504,-0.311,3.454,67.894,2.024,122.0127118,1.69,0.6958
200505,3.822,3.508,67.758,1.964,146.6327062,4.858,0.72506
200506,7.247,3.539,67.875,1.716,152.8898478,9.461,0.57862
200507,9.848,3.184,68.031,1.454,146.2641022,12.843,0.4795
200508,9.426,2.99,68.011,1.44,140.2185058,12.941,0.36414
200509,5.825,2.351,68.334,1.422,102.1970374,9.212,-0.05908
200510,-1.292,1.926,68.327,1.305,75.9104777,3.026,-0.50414
200511,-8.515,1.768,67.874,1.407,33.53479321,-1.726,-0.99638
200512,-13.365,1.545,67.702,1.946,3.013086485,-6.626,-1.01122
